,name,books,world,groups,universe
1657,Rodrayo,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1658,Rodriguez,Snapshot,Earth (Snapshot),NA,Independent
1659,Roger,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),Librarian,Independent
1660,Roial,Elantris,Sel,NA,Cosmere
1661,Roion,The Stormlight Archive,Roshar,Roion army,Cosmere
1662,Roion's son,The Stormlight Archive,Roshar,NA,Cosmere
1663,Ron,The Stormlight Archive,Roshar,NA,Cosmere
1664,Rose (Reckoners),Calamity,Earth (Reckoners),NA,Independent
1665,Rose (Rithmatist),The Rithmatist,Earth (Rithmatist),NA,Independent
1666,Rothan,The Stormlight Archive,Roshar,NA,Cosmere
1667,Roy,The Reckoners,Earth (Reckoners),Enforcement,Independent
1668,Roy Sheldon,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1669,Roy Stephens,The Rithmatist,Earth (Rithmatist),NA,Independent
1670,Rtich (Epic),The Reckoners,Earth (Reckoners),NA,Independent
1671,Rua,The Stormlight Archive,Roshar,NA,Cosmere
1672,Rudd,Mistborn Era 1,Scadrial,NA,Cosmere
1673,Ruddy,Mistborn Era 1,Scadrial,NA,Cosmere
1674,Ruli,The Stormlight Archive,Roshar,NA,Cosmere
1675,Ruri,Mistborn Era 2,Scadrial,NA,Cosmere
1676,Rushu,The Stormlight Archive,Roshar,NA,Cosmere
1677,Rushur Kris,The Stormlight Archive,Roshar,NA,Cosmere
1678,Rusko,Shadows of Self,Scadrial,NA,Cosmere
1679,Rust Elthal,The Stormlight Archive,Roshar,Kholin army,Cosmere
1680,Ruthar,The Stormlight Archive,Roshar,NA,Cosmere
1681,Rysn Ftori,The Stormlight Archive,Roshar,NA,Cosmere
1682,Sadees,The Stormlight Archive,Roshar,NA,Cosmere
1683,Sadie,Skyward (series),Detritus,NA,Cytoverse
1684,Sah,The Stormlight Archive,Roshar,NA,Cosmere
1685,Sak,Sixth of the Dusk,First of the Sun,NA,Cosmere
1686,Sakin,The Stormlight Archive,Roshar,NA,Cosmere
1687,Sakisa,The Stormlight Archive,Roshar,NA,Cosmere
1688,Salic,Legion,Earth (Legion),Abu Sayyaf,Independent
1689,Salinor Eved,The Stormlight Archive,Roshar,NA,Cosmere
1690,Salmen Tekiel,Mistborn Era 1,Scadrial,NA,Cosmere
1691,Sam (Reckoner),The Reckoners,Earth (Reckoners),Reckoners,Independent
1692,Sam (vendor),The Reckoners,Earth (Reckoners),NA,Independent
1693,Sand Lord,White Sand,Taldain,NA,Cosmere
1694,Sandra,Legion,Earth (Legion),NA,Independent
1695,Sani,The Stormlight Archive,Roshar,NA,Cosmere
1696,Saolin,Elantris,Sel,NA,Cosmere
1697,Sarene,"Elantris,The Hope of Elantris",Sel,NA,Cosmere
1698,Sarene's mother,Elantris,Sel,NA,Cosmere
1699,Savrahalidem,The Stormlight Archive,Roshar,NA,Cosmere
1700,Sazed,Mistborn,Scadrial,"Kelsier's crew,Venture army",Cosmere
1701,Scrak,The Stormlight Archive,Roshar,NA,Cosmere
1702,Screech,The Stormlight Archive,Roshar,NA,Cosmere
1703,Seaden,Elantris,Sel,NA,Cosmere
1704,Seala,Elantris,Sel,NA,Cosmere
1705,Sebasinar,The Stormlight Archive,Roshar,NA,Cosmere
1706,Sebruki,Shadows for Silence,Threnody,NA,Cosmere
1707,Seeli,The Stormlight Archive,Roshar,NA,Cosmere
1708,Seinalan,Elantris,Sel,NA,Cosmere
1709,Sekeir,The Stormlight Archive,Roshar,NA,Cosmere
1710,Seland,The Stormlight Archive,Roshar,NA,Cosmere
1711,Selvest Vif,Mistborn Era 2,Scadrial,NA,Cosmere
1712,Semm,Skyward (series),,NA,Cytoverse
1713,Senator Vindel,Mistborn Era 2,Scadrial,NA,Cosmere
1714,Senna,Mistborn: Secret History,Unknown,NA,Cosmere
1715,Sennion Crestmar,Firstborn,,NA,Independent
1716,Seor,Elantris,Sel,NA,Cosmere
1717,Sergeant Graves,Skin Deep,Earth (Legion),NA,Independent
1718,Sertes,Mistborn Era 1,Scadrial,Luthadel Garrison,Cosmere
1719,Serugiadis,The Stormlight Archive,Roshar,Kholin army,Cosmere
1720,Sev,Mistborn Era 1,Scadrial,NA,Cosmere
1721,Shaday,The Stormlight Archive,Roshar,Kholin army,Cosmere
1722,Shadowblight,The Reckoners,Earth (Reckoners),NA,Independent
1723,Shalash,The Stormlight Archive,Roshar,NA,Cosmere
1724,Shale,Perfect State,Alornia,NA,"Wode,States"
1725,Shallan Davar,The Stormlight Archive,Roshar,"Knights Radiant,Lightweavers,Unseen Court,[9],Ghostbloods",Cosmere
1726,Shallan's mother,The Stormlight Archive,Roshar,NA,Cosmere
1727,Shan Elariel,Mistborn Era 1,Scadrial,NA,Cosmere
1728,Shan Elariel's steward,Mistborn Era 1,Scadrial,NA,Cosmere
1729,ShanVen,Elantris,Sel,NA,Cosmere
1730,Shaor,Elantris,Sel,NA,Cosmere
1731,Shar,The Stormlight Archive,Roshar,NA,Cosmere
1732,Sharefel,The Stormlight Archive,Roshar,NA,Cosmere
1733,Shashara,Warbreaker,Nalthis,Five Scholars,Cosmere
1734,Shasta Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1735,Shauka-daughter-Hasweth,The Stormlight Archive,Roshar,NA,Cosmere
1736,Shayna,Mistborn Era 2,Scadrial,NA,Cosmere
1737,Shazarad,Dark One,Mirandus,NA,Independent
1738,She Who Dreams,The Stormlight Archive,Roshar,NA,Cosmere
1739,Sheler,The Stormlight Archive,Roshar,Amaram's army,Cosmere
1740,Shewrman,Mistborn Era 2,Scadrial,NA,Cosmere
1741,Shim,The Stormlight Archive,Roshar,NA,Cosmere
1742,Shiver,Skyward (series),,NA,Cytoverse
1743,Shiversting,The Reckoners,Earth (Reckoners),NA,Independent
1744,Shob,The Stormlight Archive,Roshar,Sadeas army,Cosmere
1745,Shoren,The Stormlight Archive,Roshar,NA,Cosmere
1746,Shuanor,The Stormlight Archive,Roshar,NA,Cosmere
1747,Shubalai,The Stormlight Archive,Roshar,NA,Cosmere
1748,Shubreth-son-Mashalan,The Stormlight Archive,Roshar,NA,Cosmere
1749,Shuden,Elantris,Sel,NA,Cosmere
1750,Shum,Mistborn Era 1,Scadrial,NA,Cosmere
1751,Shumin,The Stormlight Archive,Roshar,NA,Cosmere
1752,Si,The Stormlight Archive,Roshar,NA,Cosmere
1753,Sibling,The Stormlight Archive,Roshar,NA,Cosmere
1754,Sidin,The Stormlight Archive,Roshar,Kholinar Palace Guard,Cosmere
1755,Sigzil,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Worldsingers,Sadeas army,Kholin army",Cosmere
1756,Silajana,Mistborn Era 2,,NA,Cosmere
1757,Silence Montane,Shadows for Silence in the Forests of Hell,Threnody,NA,Cosmere
1758,Silence's grandfather,Shadows for Silence in the Forests of Hell,Threnody,NA,Cosmere
1759,Silence's grandmother,Shadows for Silence in the Forests of Hell,Threnody,NA,Cosmere
1760,Silversmith,The Rithmatist,Earth (Rithmatist),NA,Independent
1761,Simol,The Stormlight Archive,Roshar,NA,Cosmere
1762,Sinaku'a,The Stormlight Archive,Roshar,NA,Cosmere
1763,Sinbian,The Stormlight Archive,Roshar,NA,Cosmere
1764,Sindren,Mistborn Era 2,Scadrial,Vanishers,Cosmere
1765,Sindria,Perfect State,Alornia,NA,"Wode,States"
1766,Sing Sing Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1767,Sir Squeekins,Mistborn Era 2,Scadrial,NA,Cosmere
1768,Sir Ysla,Dark One,Mirandus,NA,Independent
1769,Sisirinah,Warbreaker,Nalthis,NA,Cosmere
1770,Sisisru,Sixth of the Dusk,First of the Sun,NA,Cosmere
1771,Siv,Skyward (series),Detritus,NA,Cytoverse
1772,Sivi,The Stormlight Archive,Roshar,NA,Cosmere
1773,Sixteen,The Stormlight Archive,Roshar,NA,Cosmere
1774,Sixth of the Dusk (character),Sixth of the Dusk,First of the Sun,NA,Cosmere
1775,Sja-anat,The Stormlight Archive,Roshar,Unmade,Cosmere
1776,Skai,Elantris,Sel,NA,Cosmere
1777,Skar,The Stormlight Archive,Roshar,"Knights Radiant,Windrunners,Bridge Four,Sadeas army,Kholin army",Cosmere
1778,Skathan,White Sand,Taldain,NA,Cosmere
1779,Skiff,Mistborn Era 1,Scadrial,Venture army,Cosmere
1780,Skip,I Hate Dragons,,NA,Independent
1781,Skyler,The Original,Earth (The Original),NA,Independent
1782,Slingshot,The Reckoners,Earth (Reckoners),NA,Independent
1783,Slink,Mistborn Era 2,Scadrial,NA,Cosmere
1784,Slowswift,Mistborn Era 1,Scadrial,NA,Cosmere
1785,Smolderbrand,The Stormlight Archive,Roshar,NA,Cosmere
1786,Smta,The Stormlight Archive,Roshar,NA,Cosmere
1787,Snide,Skyward (series),Detritus,NA,Cytoverse
1788,Snowfall,The Reckoners,Earth (Reckoners),NA,Independent
1789,Snoxil,The Stormlight Archive,Roshar,NA,Cosmere
1790,Snuggles,Skyward (series),Detritus,NA,Cytoverse
1791,Sonic Snare,The Reckoners,Earth (Reckoners),NA,Independent
1792,Sonn,Defending Elysium,,NA,Cytoverse
1793,Soomi,Firefight,Earth (Reckoners),NA,Independent
1794,Sophi Tarcsel,Mistborn Era 2,Scadrial,NA,Cosmere
1795,Sophie (Reckoners),The Reckoners,Earth (Reckoners),NA,Independent
1796,Sot,The Stormlight Archive,Roshar,NA,Cosmere
1797,Sourcefield,Firefight,Earth (Reckoners),NA,Independent
1798,Sousa,Skyward (series),Detritus,NA,Cytoverse
1799,Spanky,Mistborn Era 1,Scadrial,NA,Cosmere
1800,Spark,The Stormlight Archive,Roshar,Diagram,Cosmere
1801,Spears,Skyward (series),,NA,Cytoverse
1802,Spensa Nightshade,Skyward (series),Detritus,"DDF,Skyward Flight,Flowers of Night's Last Kiss Flight",Cytoverse
1803,Spensa's great-grandfather,Skyward (series),,NA,Cytoverse
1804,Spensa's great-grandmother,Skyward (series),,NA,Cytoverse
1805,Spensa's mother,Skyward (series),Detritus,NA,Cytoverse
1806,Spook,Mistborn Era 1,Scadrial,"Kelsier's crew,Venture army",Cosmere
1807,Spritzer,The Reckoners,Earth (Reckoners),NA,Independent
1808,Squeeze,Skyward (series),Detritus,NA,Cytoverse
1809,Sssizme,Skyward (series),,NA,Cytoverse
1810,Stagin,Mistborn Era 2,Scadrial,NA,Cosmere
1811,Stallion,Skyward (series),Detritus,NA,Cytoverse
1812,Stanoux,Mistborn Era 2,Scadrial,Set,Cosmere
1813,Stansi,Mistborn Era 2,Scadrial,Set,Cosmere
1814,Stanton,Mistborn Era 2,Scadrial,NA,Cosmere
1815,Star,The Stormlight Archive,Roshar,NA,Cosmere
1816,Starfalls Stoneward,The Stormlight Archive,Roshar,"Knights Radiant,Order of Stonewards",Cosmere
1817,Starfalls Windrunner,The Stormlight Archive,Roshar,"Knights Radiant,Order of Windrunners",Cosmere
1818,Stargyle,The Stormlight Archive,Roshar,"Knights Radiant,Lightweavers,Unseen Court",Cosmere
1819,Stase Blanches,Mistborn Era 1,Scadrial,NA,Cosmere
1820,Staxles,Mistborn Era 1,Scadrial,NA,Cosmere
1821,Steadman,Skyward (series),Detritus,DDF,Cytoverse
1822,Steelheart (Epic),Steelheart,Earth (Reckoners),NA,Independent
1823,Stefan Sauvage,Mistborn Era 2,Scadrial,NA,Cosmere
1824,Lightsong,Warbreaker,Nalthis,NA,Cosmere
1825,Stephen Leeds,Legion,Earth (Legion),NA,Independent
1826,Steris Harms,Mistborn Era 2,Scadrial,NA,Cosmere
1827,Steve,Firefight,Earth (Reckoners),NA,Independent
1828,Stewart,The Rithmatist,Earth (Rithmatist),NA,Independent
1829,Stilla,The Original,Earth (The Original),NA,Independent
1830,Stillmark,Warbreaker,Nalthis,NA,Cosmere
1831,Stine,The Stormlight Archive,Roshar,NA,Cosmere
1832,Stivient,The Emperor's Soul,Sel,Heritage Faction,Cosmere
1833,Stoff,Skyward (series),Detritus,DDF,Cytoverse
1834,Stone Tie,The Reckoners,Earth (Reckoners),NA,Independent
1835,Stormfather,The Stormlight Archive,Roshar,NA,Cosmere
1836,Stormsummoner,The Reckoners,Earth (Reckoners),NA,Independent
1837,Stormwind (Epic),The Reckoners,Earth (Reckoners),NA,Independent
1838,Stormy,Legion,Earth (Legion),Aspect,Independent
1839,Straff Venture,Mistborn Era 1,Scadrial,NA,Cosmere
1840,Strife,Skyward (series),Detritus,NA,Cytoverse
1841,Strongtower,The Reckoners,Earth (Reckoners),NA,Independent
1842,Sudi Valam,The Stormlight Archive,Roshar,NA,Cosmere
1843,Sullik,The Stormlight Archive,Roshar,NA,Cosmere
1844,Suna,Mistborn Era 2,,NA,Cosmere
1845,Suna (Roshar),The Stormlight Archive,Roshar,NA,Cosmere
1846,Sur Kamar,The Stormlight Archive,Roshar,NA,Cosmere
1847,Sureblood,The Stormlight Archive,Roshar,NA,Cosmere
1848,Susebron,Warbreaker,Nalthis,NA,Cosmere
1849,Susebron the Fourth,Warbreaker,Nalthis,NA,Cosmere
1850,Susebron's mother,Warbreaker,Nalthis,NA,Cosmere
1851,Sushi,Skyward (series),Detritus,NA,Cytoverse
1852,Svel,Mistborn Era 2,Scadrial,Brunstell,Cosmere
1853,Swing,Skyward (series),Detritus,NA,Cytoverse
1854,Syasikk,The Stormlight Archive,Roshar,NA,Cosmere
1855,Sylphrena,The Stormlight Archive,Roshar,NA,Cosmere
1856,Sylvia,Legion: Skin Deep,Earth (Legion),NA,Independent
1857,Szeth,The Stormlight Archive,Roshar,"Knights Radiant,Skybreakers",Cosmere
1858,Szeth's highspren,The Stormlight Archive,Roshar,NA,Cosmere
1859,Taan,Elantris,Sel,NA,Cosmere
1860,Tabaar,Mistborn Era 2,Scadrial,NA,Cosmere
1861,Tadet,The Stormlight Archive,Roshar,NA,Cosmere
1862,Taff,Warbreaker,Nalthis,NA,Cosmere
1863,Taffa,The Stormlight Archive,Roshar,NA,Cosmere
1864,Tag,The Stormlight Archive,Roshar,NA,Cosmere
1865,Tai,The Stormlight Archive,Roshar,NA,Cosmere
1866,Taid,The Hope of Elantris,Sel,NA,Cosmere
1867,Tain,White Sand,Taldain,NA,Cosmere
1868,Taka,The Stormlight Archive,Roshar,"Kholin army,King's Guard",Cosmere
1869,Talak,The Stormlight Archive,Roshar,NA,Cosmere
1870,Talakimallo,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
1871,Talanah,The Stormlight Archive,Roshar,NA,Cosmere
1872,Talanan,The Stormlight Archive,Roshar,Sebarial army,Cosmere
1873,Talanor,The Stormlight Archive,Roshar,NA,Cosmere
1874,Talata,The Stormlight Archive,Roshar,NA,Cosmere
1875,Talatin,The Stormlight Archive,Roshar,"Knights Radiant,Stoneward",Cosmere
1876,Taleb,The Stormlight Archive,Roshar,NA,Cosmere
1877,Talenel,The Stormlight Archive,Roshar,NA,Cosmere
1878,Talik,The Stormlight Archive,Roshar,NA,Cosmere
1879,Tallan,The Stormlight Archive,Roshar,Kholin army,Cosmere
1880,Talnah,The Stormlight Archive,Roshar,NA,Cosmere
1881,Tanalan,The Stormlight Archive,Roshar,NA,Cosmere
1882,Tanalan's father,The Stormlight Archive,Roshar,NA,Cosmere
1883,Tanalan's mother,The Stormlight Archive,Roshar,NA,Cosmere
1884,Tanavast,The Stormlight Archive,Roshar,NA,Cosmere
1885,Tao,The Emperor's Soul,Sel,NA,Cosmere
1886,Taraco,Mistborn Era 2,Scadrial,NA,Cosmere
1887,Tarah,The Stormlight Archive,Roshar,NA,Cosmere
1888,Taran,The Stormlight Archive,Roshar,NA,Cosmere
1889,Taravangian,The Stormlight Archive,Roshar,Diagram,Cosmere
1890,Taravangian's granddaughter,The Stormlight Archive,Roshar,NA,Cosmere
1891,Tarilar,The Stormlight Archive,Roshar,Kholin army,Cosmere
1892,Tark Vestingdow,Mistborn Era 2,Scadrial,NA,Cosmere
1893,TarKavv,Mistborn Era 1,Scadrial,NA,Cosmere
1894,Tarn,The Stormlight Archive,Roshar,NA,Cosmere
1895,Tarson,The Alloy of Law,Scadrial,Vanishers,Cosmere
1896,Tase,Mistborn Era 1,Scadrial,NA,Cosmere
1897,Taselin,The Stormlight Archive,Roshar,NA,Cosmere
1898,Tashlin,The Stormlight Archive,Roshar,Amaram's army,Cosmere
1899,Tasinar,The Stormlight Archive,Roshar,NA,Cosmere
1900,Tatara,Warbreaker,Nalthis,NA,Cosmere
1901,Tathed,Mistborn Era 2,Scadrial,NA,Cosmere
1902,Taudr,Mistborn Era 2,Scadrial,NA,Cosmere
1903,Tavi,The Reckoners,Earth (Reckoners),NA,Independent
1904,Tavinar,The Stormlight Archive,Roshar,NA,Cosmere
1905,Tawnson,Mistborn Era 1,Scadrial,NA,Cosmere
1906,Tearim,The Stormlight Archive,Roshar,"Kholin army,King's Guard",Cosmere
1907,Teft,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Envisagers,Sadeas army,Kholin army",Cosmere
1908,Tegas,Mistborn Era 1,Scadrial,NA,Cosmere
1909,Telden Hasting,Mistborn Era 1,Scadrial,NA,Cosmere
1910,Teleb,The Stormlight Archive,Roshar,"Dalinar's elites,[2],Kholin army",Cosmere
1911,Telesh,The Stormlight Archive,Roshar,NA,Cosmere
1912,Tellingdwar,Mistborn Era 2,Scadrial,NA,Cosmere
1913,Telrii,Elantris,Sel,NA,Cosmere
1914,Telsin Ladrian,Mistborn Era 2,Scadrial,Set,Cosmere
1915,Temadre,Mistborn Era 1,Scadrial,NA,Cosmere
1916,Templeton Fig,Mistborn Era 2,Scadrial,Set,Cosmere
1917,Ten,The Stormlight Archive,Roshar,NA,Cosmere
1918,Tenathar,The Stormlight Archive,Roshar,NA,Cosmere
1919,Tendel,White Sand,Taldain,Diem,Cosmere
1920,Tenrao,Elantris,Sel,NA,Cosmere
1921,TenSoon,Mistborn,Scadrial,Kelsier's crew,Cosmere
1922,Teofil,The Stormlight Archive,Roshar,NA,Cosmere
1923,Teor,The Hope of Elantris,Sel,NA,Cosmere
1924,Teorn,Elantris,Sel,NA,Cosmere
1925,Tepper,Mistborn Era 1,Scadrial,NA,Cosmere
1926,Terarn,Firstborn,,NA,Independent
1927,Terion,Mistborn Era 1,Scadrial,NA,Cosmere
1928,Terith,The Stormlight Archive,Roshar,NA,Cosmere
1929,Terms,The Reckoners,Earth (Reckoners),NA,Independent
1930,Terri,Mistborn Era 2,Scadrial,NA,Cosmere
1931,Terrier,Skyward (series),Detritus,NA,Cytoverse
1932,Terxim,The Stormlight Archive,Roshar,NA,Cosmere
1933,Teshav Khal,The Stormlight Archive,Roshar,NA,Cosmere
1934,Teshav's ward,The Stormlight Archive,Roshar,NA,Cosmere
1935,Testament,The Stormlight Archive,Roshar,NA,Cosmere
1936,Teur,Mistborn Era 1,Scadrial,NA,Cosmere
1937,Teven Renoux,Mistborn Era 1,Scadrial,NA,Cosmere
1938,Tevidian Tekiel,Mistborn Era 1,Scadrial,NA,Cosmere
1939,Thaddius,The Rithmatist,Earth (Rithmatist),NA,Independent
1940,Thadwick,Skyward (series),Detritus,DDF,Cytoverse
1941,Thakka,The Stormlight Archive,Roshar,"Dalinar's elites,Kholin army",Cosmere
1942,Thame,Warbreaker,Nalthis,NA,Cosmere
1943,Thanadal,The Stormlight Archive,Roshar,"Sons of Honor,[3]",Cosmere
1944,Thaspic,The Stormlight Archive,Roshar,NA,Cosmere
1945,Thaub,The Reckoners,Earth (Reckoners),NA,Independent
1946,The Photographer,Snapshot,Earth (Snapshot),NA,Independent
1947,TheGannon,Dreamer,Earth (Dreamer),NA,Independent
1948,Themos Tresting,Mistborn Era 1,Scadrial,NA,Cosmere
1949,Theopolis,Shadows for Silence,Threnody,NA,Cosmere
1950,Thered,Elantris,Sel,NA,Cosmere
1951,Theron,Mistborn Era 1,Scadrial,NA,Cosmere
1952,Thior,Skyward (series),Detritus,NA,Cytoverse
1953,Thomas,Skin Deep,Earth (Legion),NA,Independent
1954,Thomas York,The Rithmatist,Earth (Rithmatist),NA,Independent
1955,Thomton Delacour,Mistborn Era 2,Scadrial,NA,Cosmere
1956,Three-Tooth Dag,Mistborn Era 2,Scadrial,NA,Cosmere
1957,Thresh-son-Esan,The Stormlight Archive,Roshar,NA,Cosmere
1958,Thude,The Stormlight Archive,Roshar,NA,Cosmere
1959,Thurts,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
1960,Tia,The Reckoners,Earth (Reckoners),Reckoners,Independent
1961,Tibon,The Stormlight Archive,Roshar,NA,Cosmere
1962,Tien,The Stormlight Archive,Roshar,Amaram's army,Cosmere
1963,Tifandor,The Stormlight Archive,Roshar,NA,Cosmere
1964,Tifi,The Stormlight Archive,Roshar,NA,Cosmere
1965,Tift,The Stormlight Archive,Roshar,NA,Cosmere
1966,Tigzikk,The Stormlight Archive,Roshar,Huqin's crew,Cosmere
1967,Tiil,The Hope of Elantris,Sel,NA,Cosmere
1968,Tillaume,Mistborn Era 2,Scadrial,NA,Cosmere
1969,Tim Vashin,Mistborn Era 2,Scadrial,NA,Cosmere
1970,Timbre,The Stormlight Archive,Roshar,NA,Cosmere
1971,Tinalar,The Stormlight Archive,Roshar,NA,Cosmere
1972,Tindwyl,Mistborn Era 1,Scadrial,"Synod,Kelsier's crew",Cosmere
1973,Tindwyl Ladrian,Mistborn Era 2,Scadrial,NA,Cosmere
1974,Tiqqa,The Stormlight Archive,Roshar,NA,Cosmere
1975,Tisark,The Stormlight Archive,Roshar,NA,Cosmere
1976,Tivbet,The Stormlight Archive,Roshar,NA,Cosmere
1977,Tizmar,Skyward (series),,NA,Cytoverse
1978,Tlik,The Stormlight Archive,Roshar,NA,Cosmere
1979,Tobal Copper,Mistborn Era 2,Scadrial,NA,Cosmere
1980,Tobias,Legion,Earth (Legion),Aspect,Independent
1981,Tobias (Threnody),Shadows for Silence,Threnody,NA,Cosmere
1982,Toh,The Stormlight Archive,Roshar,NA,Cosmere
1983,Tomor,The Stormlight Archive,Roshar,NA,Cosmere
1984,Ton (singer),The Stormlight Archive,Roshar,NA,Cosmere
1985,Ton (Veden),The Stormlight Archive,Roshar,NA,Cosmere
1986,Tonk Fah,Warbreaker,Nalthis,Denth's crew,Cosmere
1987,Tony,Skyward (series),Detritus,NA,Cytoverse
1988,Took,The Stormlight Archive,Roshar,NA,Cosmere
1989,Toorim,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
1990,Toral,The Stormlight Archive,Roshar,NA,Cosmere
1991,Toralin Roshone,The Stormlight Archive,Roshar,NA,Cosmere
1992,Toravi,The Stormlight Archive,Roshar,NA,Cosmere
1993,Torena,Elantris,Sel,NA,Cosmere
1994,Torfin,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Sadeas army,Kholin army",Cosmere
1995,Torkel,White Sand,Taldain,The Guild,Cosmere
1996,Tormas,The Stormlight Archive,Roshar,NA,Cosmere
1997,Torol Sadeas,The Stormlight Archive,Roshar,Sadeas army,Cosmere
1998,Ms. Torrent,The Rithmatist,Earth (Rithmatist),NA,Independent
1999,Tozbek,The Stormlight Archive,Roshar,NA,Cosmere
2000,Traiben,White Sand,Taldain,Diem,Cosmere
2001,Trap,Mistborn Era 1,Scadrial,Kelsier's crew,Cosmere
2002,Traxil,The Stormlight Archive,Roshar,NA,Cosmere
2003,Trebor,Dark One,Earth (Dark One),NA,Independent
2004,Treff,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
2005,Treledees,Warbreaker,Nalthis,NA,Cosmere
2006,Trell (Trellism),Mistborn Era 2,Scadrial,NA,Cosmere
2007,Trell (Taldain),White Sand,Taldain,Mason's Guild,Cosmere
2008,Tren-Pedri Delouse,Mistborn Era 1,Scadrial,NA,Cosmere
2009,Trendalan,Mistborn Era 1,Scadrial,NA,Cosmere
2010,Trent Saxon,The Rithmatist,Earth (Rithmatist),NA,Independent
2011,Trentison,Mistborn Era 1,Scadrial,NA,Cosmere
2012,Trey,Skyward (series),Detritus,NA,Cytoverse
2013,Triss,Mistborn Era 1,Scadrial,NA,Cosmere
2014,Troalin,Mistborn Era 1,Scadrial,NA,Cosmere
2015,Troubeld,Mistborn Era 1,Scadrial,NA,Cosmere
2016,Truthcall,Warbreaker,Nalthis,NA,Cosmere
2017,Tsa,The Stormlight Archive,Roshar,NA,Cosmere
2018,Tshadr,The Stormlight Archive,Roshar,NA,Cosmere
2019,Tuaka,The Stormlight Archive,Roshar,NA,Cosmere
2020,Tuft,Warbreaker,Nalthis,NA,Cosmere
2021,Tukari leader,The Stormlight Archive,Roshar,NA,Cosmere
2022,Tukks,The Stormlight Archive,Roshar,"Amaram's army,Takers",Cosmere
2023,Tumi,The Stormlight Archive,Roshar,NA,Cosmere
2024,Tumul,The Stormlight Archive,Roshar,NA,Cosmere
2025,Tunestone,Skyward (series),Detritus,NA,Cytoverse
2026,Turash,The Stormlight Archive,Roshar,NA,Cosmere
2027,Turinad Sebarial,The Stormlight Archive,Roshar,Sebarial army,Cosmere
2028,Turlm,The Stormlight Archive,Roshar,NA,Cosmere
2029,Turquoise,Legion,Earth (Legion),Aspect,Independent
2030,Tusa,The Stormlight Archive,Roshar,NA,Cosmere
2031,Tvlakv,The Stormlight Archive,Roshar,NA,Cosmere
2032,Twist,Skyward (series),Detritus,NA,Cytoverse
2033,Ty,The Stormlight Archive,Roshar,Skybreaker,Cosmere
2034,Tyden,Mistborn Era 1,Scadrial,NA,Cosmere
2035,Tyn,The Stormlight Archive,Roshar,NA,Cosmere
2036,Tzentian,The Rithmatist,Earth (Rithmatist),NA,Independent
2037,Tzoctinatin,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
2038,Ua'pam,The Stormlight Archive,Roshar,NA,Cosmere
2039,Ukrit,Skyward,Detritus,NA,Cytoverse
2040,Ulaam,Mistborn Era 2,Scadrial,NA,Cosmere
2041,Ulan,Skyward (series),Detritus,DDF,Cytoverse
2042,Ulef,Mistborn Era 1,Scadrial,Camon's crew,Cosmere
2043,Uli Da,"Arcanum Unbounded,Shadows for Silence in the Forests of Hell,The Stormlight Archive",,NA,Cosmere
2044,Ulim,The Stormlight Archive,Roshar,NA,Cosmere
2045,Ulina,The Stormlight Archive,Roshar,Sons of Honor,Cosmere
2046,Ulvlk,The Stormlight Archive,Roshar,Vriztl Guild,Cosmere
2047,Unativi,The Stormlight Archive,Roshar,NA,Cosmere
2048,Underscore,Skyward (series),Detritus,NA,Cytoverse
2049,Unoqua,The Stormlight Archive,Roshar,NA,Cosmere
2050,Ur (character),The Stormlight Archive,Roshar,NA,Cosmere
2051,Urad,The Stormlight Archive,Roshar,NA,Cosmere
2052,Urdree,Mistborn Era 1,Scadrial,NA,Cosmere
2053,Urialin,The Stormlight Archive,Roshar,NA,Cosmere
2054,Uriam,The Stormlight Archive,Roshar,NA,Cosmere
2055,Urian,The Stormlight Archive,Roshar,NA,Cosmere
2056,Urimil,The Stormlight Archive,Roshar,NA,Cosmere
2057,Urv,The Stormlight Archive,Roshar,NA,Cosmere
2058,Uscri,The Stormlight Archive,Roshar,NA,Cosmere
2059,Ushnaka,The Emperor's Soul,Sel,Heritage Faction,Cosmere
2060,Vaceslv,The Stormlight Archive,Roshar,Kholinar Wall Guard,Cosmere
2061,Vadam,The Stormlight Archive,Roshar,NA,Cosmere
2062,Vahnn,Defending Elysium,,NA,Cytoverse
2063,Vahr,Warbreaker,Nalthis,NA,Cosmere
2064,Vai,The Stormlight Archive,Roshar,NA,Cosmere
2065,Vaiu,The Stormlight Archive,Roshar,NA,Cosmere
2066,Valam,The Stormlight Archive,Roshar,NA,Cosmere
